ƒлина   оличество  —лово   Ќќƒ  ѕоложение (рассто€ние)
     3      3         а л       5  2779 3284 (505) 3314 (30) 
     3      3         лше      25  2812 3237 (425) 4587 (1350) 
     3      3         у р       5  2907 3242 (335) 4287 (1045) 
     3      3          ас      14  2916 3966 (1050) 5464 (1498) 
     3      3         олс       3  2943 4629 (1686) 5418 (789) 
     3      3         вст       5  2962 3747 (785) 4842 (1095) 
     3      3         с д     125  2999 3124 (125) 4874 (1750) 
     3      3         ы м       5  3337 3942 (605) 4762 (820) 
     3      3          мо       5  3338 3943 (605) 4173 (230) 
     3      3         слт      10  3346 5336 (1990) 5346 (10) 
     3      3         п о       2  3554 4584 (1030) 5332 (748) 
     3      3         кмо     185  3561 3931 (370) 5226 (1295) 
     3      3         з         8  3605 4525 (920) 5069 (544) 
     3      3         тес      71  3652 5285 (1633) 5427 (142) 
     3      3         п,        2  3702 4080 (378) 5302 (1222) 
     3      3         з е       4  3839 3979 (140) 3995 (16) 
     3      3         €         5  4046 4346 (300) 5361 (1015) 
     3      3         вде       5  4246 4531 (285) 4746 (215) 
     3      4         лну       5  4302 4342 (40) 4437 (95) 4857 (420) 
     4      3        € нм      15  10 1225 (1215) 2065 (840) 
     4      3         нме      15  11 1226 (1215) 2066 (840) 
     4      3         тот       3  93 2052 (1959) 2631 (579) 
     4      3        т с€       5  106 1016 (910) 5081 (4065) 
     4      8        д л’       5  120 1590 (1470) 1615 (25) 2705 (1090) 3225 (520) 4365 (1140) 4825 (460) 4945 (120) 
     4      8         л’о       5  121 1591 (1470) 1616 (25) 2706 (1090) 3226 (520) 4366 (1140) 4826 (460) 4946 (120) 
     4      3        р ет       5  126 3231 (3105) 4951 (1720) 
     4      3        днсо       5  136 2251 (2115) 4961 (2710) 
     4      3         нпо       5  161 586 (425) 5046 (4460) 
     4      3        овм        4  164 716 (552) 4336 (3620) 
     4      3         а-.      10  175 2725 (2550) 4385 (1660) 
     4      3          мн      15  525 1005 (480) 5070 (4065) 
     4      3         мна      15  526 1006 (480) 5071 (4065) 
     4      3         опр       5  551 936 (385) 4476 (3540) 
     4      4        к у,       5  621 2911 (2290) 3246 (335) 4291 (1045) 
     4      3         н,н      10  705 3935 (3230) 4845 (910) 
     4      3        ,  -      60  781 1921 (1140) 4081 (2160) 
     4      3         и€л       5  790 1790 (1000) 5205 (3415) 
     4      3        и€лс       5  791 1791 (1000) 5206 (3415) 
     4      3        дƒиа       5  795 1800 (1005) 3110 (1310) 
     4      3        ƒиав       5  796 1801 (1005) 3111 (1310) 
     4      3        ижни      15  835 4060 (3225) 5065 (1005) 
     4      3        жниз      15  836 4061 (3225) 5066 (1005) 
     4      4        . 
-      15  841 1366 (525) 1846 (480) 4066 (2220) 
     4      3        м.а       10  870 1220 (350) 2790 (1570) 
     4      3         лпо       5  876 2136 (1260) 2881 (745) 
     4      4         урк       5  894 1214 (320) 1839 (625) 2784 (945) 
     4      3        лает       5  1201 4536 (3335) 4751 (215) 
     4      3        о п        5  1207 3552 (2345) 4582 (1030) 
     4      3        урку       5  1215 1840 (625) 2785 (945) 
     4      4        ркуб       5  1216 1841 (625) 2786 (945) 3356 (570) 
